Taxa	MetaCyc_complete_name	Representative_taxa	NCBI_IDs	Taxa_range	NCBI_IDs	MetaCycID_2	name	pathClass	Class	Category
PWY-7383	PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol.	Arenicola marina,Ascaris lumbricoides,Ascaris suum,Corbicula japonica,Crassostrea gigas,Fasciola hepatica,Mytilus californianus,Mytilus edulis,Mytilus galloprovincialis,Mytilus trossulus,Sipunculus nudus,	6344,6252,6253,141464,29159,6192,6549,6550,29158,6551,6446,	Nematoda,Platyhelminthes,Annelida,Mollusca,	6231,6157,6340,6447,	PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)	Fermentation,Energy-Metabolism,Pathways	Fermentation	Energy-Metabolism
PWY-7384	PWY.7384..anaerobic.energy.metabolism..invertebrates..mitochondrial.	Arenicola marina,Ascaris lumbricoides,Ascaris suum,Crassostrea gigas,Fasciola hepatica,Mytilus edulis,Sipunculus nudus,	6344,6252,6253,29159,6192,6550,6446,	Nematoda,Platyhelminthes,Annelida,Mollusca,	6231,6157,6340,6447,	PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)	Fermentation,Energy-Metabolism,Pathways	Fermentation	Energy-Metabolism
PWY-7385	PWY.7385..1.3.propanediol.biosynthesis..engineered.	Escherichia coli,Klebsiella pneumoniae,Saccharomyces cerevisiae,	511145,573,4932,	Fungi,Bacteria,	4751,2,	PWY-7385	1,3-propanediol biosynthesis (engineered)	Fermentation,Energy-Metabolism,Pathways	Fermentation	Energy-Metabolism
PWY-7388	PWY.7388..octanoyl..acyl.carrier.protein..biosynthesis..mitochondria..yeast.	Saccharomyces cerevisiae,	4932,	Eukaryota,Fungi,	2759,4751,	PWY-7388	octanoyl [acyl carrier protein] biosynthesis mitochondria yeast	Fatty-acid-biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-7389	PWY.7389..superpathway.of.anaerobic.energy.metabolism..invertebrates.	Arenicola marina,Ascaris lumbricoides,Ascaris suum,Corbicula japonica,Crassostrea gigas,Fasciola hepatica,Mytilus californianus,Mytilus edulis,Mytilus galloprovincialis,Mytilus trossulus,Sipunculus nudus,	6344,6252,6253,141464,29159,6192,6549,6550,29158,6551,6446,	Platyhelminthes,Nematoda,Mollusca,Annelida,	6157,6231,6447,6340,	PWY-7389	superpathway of anaerobic energy metabolism (invertebrates)	Fermentation,Energy-Metabolism,Pathways	Fermentation	Energy-Metabolism
PWY-7391	PWY.7391..isoprene.biosynthesis.II..engineered.	Enterococcus faecalis,Methanosarcina mazei,Populus alba,Saccharomyces cerevisiae,	1351,192952,43335,4932,	Archaea,Metazoa,Fungi,Bacteria,Viridiplantae,	2157,33208,4751,2,33090,	PWY-7391	isoprene biosynthesis II (engineered)	ISOPRENOIDS,Terpenoid-Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-7392	PWY.7392..taxadiene.biosynthesis..engineered.	Escherichia coli,Pantoea agglomerans,Taxus brevifolia,	511145,549,46220,	Archaea,Eukaryota,Bacteria,	2157,2759,2,	PWY-7392	taxadiene biosynthesis (engineered)	DITERPENOID-SYN,Terpenoid-Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-7397	PWY.7397..naringenin.biosynthesis..engineered.	Medicago sativa,Petroselinum crispum,Petunia x hybrida,Rhodotorula glutinis,	3879,4043,4102,5535,	Fungi,Viridiplantae,	4751,33090,	PWY-7397	naringenin biosynthesis (engineered)	FLAVONOID-SYN,PHENYLPROPANOID-SYN,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-7398	PWY.7398..coumarins.biosynthesis..engineered.	Escherichia coli,Ipomoea batatas,Petroselinum crispum,Rhodotorula glutinis,Arabidopsis thaliana,	566546,4120,4043,5535,	Fungi,Viridiplantae,Bacteria,	4751,33090,2,	PWY-7398	coumarins biosynthesis (engineered)	COUMARIN-SYN,PHENYLPROPANOID-SYN,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-7399	PWY.7399..methylphosphonate.degradation.II	Bacillus bataviensis,Bacillus nealsonii,Clostridium butyricum,Clostridium colicanis,Peptoclostridium difficile,Peptoclostridium difficile,Clostridium pasteurianum,Collinsella tanakaei,Cryptobacterium sp. CAG:338,Desulfosporosinus acidiphilus,Desulfosporosinus youngiae,Eggerthella lenta,Eggerthella lenta,Paenibacillus terrae,Planococcus antarcticus,	220685,115979,1492,179628,272563,645462,1501,626935,1262868,885581,339862,84112,479437,159743,161360,	Bacteria,	2,	PWY-7399	methylphosphonate degradation II	Methylphosphonate-Degradation,Phosphorus-Compounds,Inorganic Nutrients Metabolism,Degradation/Utilization/Assimilation	Inorganic Nutrients Metabolism	Degradation
PWY-7400	PWY.7400..L.arginine.biosynthesis.IV..archaebacteria.	Halalkalicoccus,Haloarcula,Haloferax,Halomicrobium,Haloterrigena,Ignicoccus,Metallosphaera sedula,Natrialba,Natronomonas,Pyrobaculum,Sphaerobacter,Sulfolobus acidocaldarius,Thermobaculum,Thermomicrobium,Thermoproteus,	332246,2237,2251,203135,121871,54258,43687,63742,63743,2276,2056,2285,262406,499,2270,	Archaea,Bacteria,	2157,2,	PWY-7400	L arginine biosynthesis IV archaebacteria	ARGININE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-7401	PWY.7401..crotonate.fermentation..to.acetate.and.cyclohexane.carboxylate.	Syntrophus aciditrophicus,	316277,	Bacteria,	2,	PWY-7401	crotonate fermentation	fermentation,Energy-Metabolism,Pathways	fermentation	Generation of precursor Metabolites and Energy
PWY-7409	PWY.7409..phospholipid.remodeling..phosphatidylethanolamine..yeast.	Saccharomyces cerevisiae,	4932,	Eukaryota,	2759,	PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)	PhosphatidylethanolamineBiosynthesis,Phospholipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-7411	PWY.7411..superpathway.of.phosphatidate.biosynthesis..yeast.	Saccharomyces cerevisiae,	4932,	Eukaryota,	2759,	PWY-7411	superpathway of phosphatidate biosynthesis (yeast)	Super-Pathways,Pathways	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-7413	PWY.7413..dTDP.6.deoxy..alpha..D.allose.biosynthesis	Micromonospora griseorubida,Streptomyces bikiniensis,Streptomyces fradiae,Streptomyces sp. KCTC 0041BP,	28040,1896,1906,201500,	Bacteria,	2,	PWY-7413	dTDP-6-deoxy-alpha,-D-allose biosynthesis	dTDP-Sugar-Biosynthesis,Sugar Nucleotides Biosynthesis,Sugars Biosynthesis,Carbohydrates Biosynthesis,Biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
PWY-7414	PWY.7414..dTDP..alpha..D.mycaminose.biosynthesis	Streptomyces fradiae,Streptomyces mycarofaciens,	1906,1949,	Streptomyces,	1883,	PWY-7414	dTDP-alpha,-D-mycaminose biosynthesis	dTDP-Sugar-Biosynthesis,Sugar Nucleotides Biosynthesis,Sugars Biosynthesis,Carbohydrates Biosynthesis,Biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
PWY-7420	PWY.7420..monoacylglycerol.metabolism..yeast.	Saccharomyces cerevisiae,	4932,	Eukaryota,	2759,	PWY-7420	monoacylglycerol metabolism yeast	Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-7426	PWY.7426..mannosyl.glycoprotein.N.acetylglucosaminyltransferases	Homo sapiens,	9606,	Eukaryota,	2759,	PWY-7426	monoacylglycerol metabolism	Protein-Modification,Macromolecule-Modification	Protein-Modification	Macromolecule-Modification
PWY-7431	PWY.7431..aromatic.biogenic.amine.degradation..bacteria.	Pseudomonas aeruginosa,Arthrobacter synephrinum,Pseudomonas putida,	208964,	Bacteria,	2,	PWY-7431	aromatic biogenic amine degradation (bacteria)	AMINE-DEG,Degradation,Pathways	AMINE-DEG	Degradation
PWY-7433	PWY.7433..mucin.core.1.and.core.2.O.glycosylation	Homo sapiens,	9606,	Metazoa,	33208,	PWY-7433	mucin core 1	protein glycosylation	Protein-Modification	Macromolecule-Modification
PWY-7434	PWY.7434..terminal.O.glycans.residues.modification	Homo sapiens,	9606,	Eukaryota,	2759,	PWY-7434	terminal O-glycans	protein glycosylation	Protein-Modification	Macromolecule-Modification
PWY-7436	PWY.7436..vitamin.E.biosynthesis..tocotrienols.	Arabidopsis thaliana,Hordeum vulgare,Arabidopsis thaliana,	3702,4513,	Magnoliophyta,	3398,	PWY-7436	vitamin E	Vitamin biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-7446	PWY.7446..sulfoglycolysis	Escherichia coli,	511145,	Bacteria,	2,	PWY-7446	sulfoquinovose degradation I	Sulfoquinovose-Degradation,Sugar Derivatives Degradation,Secondary Metabolites Degradation,Degradation/Utilization/Assimilation	Sugar Derivatives Degradation	Degradation
PWY-7456	PWY.7456..mannan.degradation	Bacteroides fragilis,Ruminococcus albus,Ruminococcus albus,	272559,697329,	Bacteria,	2,	PWY-7456	mannan degradation	POLYSACCHARIDES-DEG,Carbohydrates Degradation,Polymer-Degradation,Degradation/Utilization/Assimilation	POLYSACCHARIDES-DEG	Degradation
PWY-7498	PWY.7498..phenylpropanoids.methylation..ice.plant.	Mesembryanthemum crystallinum,	3544,	Viridiplantae,	33090,	PWY-7498	phenylpropanoids methylation	Phenylpropanoid-Derivatives-Biosynthesis,Secondary-Metabolites-Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-7511	PWY.7511..protein.ubiquitylation	Saccharomyces cerevisiae,Glycine max,Triticum aestivum,Homo sapiens,	559292,3847,4565,9606,	Eukaryota,	2759,	PWY-7511	protein ubiquitylation	Protein-Modification,Macromolecule-Modification	Protein-Modification	Macromolecule-Modification
PWY-7527	PWY.7527..L.methionine.salvage.cycle.III	Homo sapiens,Mus musculus,Rattus norvegicus,Rhodospirillum rubrum,	9606,10090,10116,1085,	Archaea,Bacteria,Metazoa,	2157,2,33208,	PWY-7527	L methionine salvage cycle III	Methionine-Salvage,METHIONINE-SYN,Proteinogenic Amino Acids Biosynthesis,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-7528	PWY.7528..L.methionine.salvage.cycle.I..bacteria.and.plants.	Solanum lycopersicum,Bacillus subtilis,Bacillus subtilis,Klebsiella oxytoca,Klebsiella pneumoniae,Lupinus luteus,Oryza sativa,Vibrio cholerae,	4081,1423,224308,571,573,3873,4530,666,	Archaea,Bacteria,Viridiplantae,	2157,2,33090,	PWY-7528	L methionine salvage cycle I bacteria and plants	Methionine-Salvage,METHIONINE-SYN,Proteinogenic Amino Acids Biosynthesis,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY-7539	PWY.7539..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.III..Chlamydia.	Chlamydia trachomatis,	813,	Chlamydia,	810,	PWY-7539	6 hydroxymethyl dihydropterin diphosphate biosynthesis III Chlamydia	6-HM-Dihydropterin-PP-Biosynthesis,Folate-Biosynthesis,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
PWY-7546	PWY.7546..diphthamide.biosynthesis..eukaryotes.	Homo sapiens,Saccharomyces cerevisiae,	9606,4932,	Eukaryota,	2759,	PWY-7546	diphthamide biosynthesis	modification of amino acids	Amino Acids Biosynthesis	Biosynthesis
PWY-7560	PWY.7560..methylerythritol.phosphate.pathway.II	Botryococcus braunii,Croton stellatopilosus,Plasmodium falciparum,Plasmodium falciparum,Solanum lycopersicum,Thermosynechococcus elongatus,Arabidopsis thaliana,	38881,431156,5833,137071,4081,197221,	Apicomplexa,Cyanobacteria,Viridiplantae,	5794,1117,33090,	PWY-7560	methylerythritol phosphate pathway II	Isopentenyl-Diphosphate-Biosynthesis,Hemiterpenes Biosynthesis,Terpenoids Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-7562	PWY.7562..3.6.anhydro..alpha..L.galactopyranose.degradation	Postechiella marina,Pseudoalteromonas atlantica,Streptomyces coelicolor,Vibrio sp. EJY3,	943941,342610,100226,1116375,	Bacteria,	2,	PWY-7562	3,6-anhydro degradation	Sugar-Derivatives-Degradation,Secondary-Metabolites-Degradation,Degradation	Carbohydrates Degradation	Degradation
PWY-7579	PWY.7579..phycourobilin.biosynthesis	Synechococcus sp. RS9916,Synechococcus sp. WH 8102,	221359,84588,	Cyanobacteria,	1117,	PWY-7579	phycourobilin biosynthesis	Cofactor-Biosynthesis,Biosynthesis,Pathways	Cofactor-Biosynthesis	Biosynthesis
PWY-7592	PWY.7592..arachidonate.biosynthesis.III..metazoa.	Homo sapiens,	9606,	Metazoa,	33208,	PWY-7592	arachidonate biosynthesis III metazoa	Arachidonate Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-7601	PWY.7601..arachidonate.biosynthesis.IV..8.detaturase.	Acanthamoeba sp.,Euglena gracilis,Homo sapiens,Isochrysis galbana,Pavlova sp. CCMP459,Rebecca salina,Tetrahymena pyriformis,	5756,3039,9606,37099,298111,561169,5908,	Eukaryota,	2759,	PWY-7601	arachidonate biosynthesis IV	Arachidonate Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-7602	PWY.7602..icosapentaenoate.biosynthesis.V...Delta.8.desaturase.	Euglena gracilis,Isochrysis galbana,Pavlova sp. CCMP459,Rebecca salina,	3039,37099,298111,561169,	Euglenozoa,Haptophyceae,	33682,2830,	PWY-7602	icosapentaenoate biosynthesis V	Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-7606	PWY.7606..docosahexaenoate.biosynthesis.III..mammals.	Homo sapiens,	9606,	Metazoa,Eukaryota,	33208,2759,	PWY-7606	docosahexaenoate biosynthesis III	Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-7616	PWY.7616..methanol.oxidation.to.carbon.dioxide	Corynebacterium glutamicum,	196627,	Bacteria,	2,	PWY-7616	methanol oxidation to carbon dioxide	Alcohol-Degradation,Degradation,Pathways	Alcohol-Degradation	Degradation
PWY-7619	PWY.7619..juniperonate.biosynthesis	Anemone leveillei,	212809,	Eukaryota,	2759,	PWY-7619	juniperonate biosynthesis	Polyunsaturated Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-7626	PWY.7626..bacilysin.biosynthesis	Bacillus subtilis,	1423,	Bacteria,	2,	PWY-7626	bacilysin biosynthesis	Antibiotic-Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY-7644	PWY.7644..heparin.degradation	Pedobacter heparinus,Streptococcus agalactiae,	984,1311,	Bacteria,	2,	PWY-7644	heparin degradation	Creatinine-Degradation,AMINE-DEG,Degradation	AMINE-DEG	Degradation
PWY-7654	PWY.7654...8E.10E..dodeca.8.10.dienol.biosynthesis	Cydia pomonella,	82600,	Lepidoptera,	7088,	PWY-7654	(8E,10E)-dodeca-8,10-dienol biosynthesis	HORMONE-SYN,Biosynthesis,Pathways	HORMONE-SYN	Biosynthesis
PWY-7656	PWY.7656..Spodoptera.littoralis.pheromone.biosynthesis	Spodoptera littoralis,	7109,	Lepidoptera,	7088,	PWY-7656	Spodoptera littoralis pheromone biosynthesis	HORMONE-SYN,Biosynthesis,Pathways	HORMONE-SYN	Biosynthesis
PWY-7663	PWY.7663..gondoate.biosynthesis..anaerobic.	Aerococcus viridans,	1377,	Bacteria,	2,	PWY-7663	gondoate biosynthesis (anaerobic)	Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-7664	PWY.7664..oleate.biosynthesis.IV..anaerobic.	Aerococcus viridans,Clostridium beijerinckii,Rhodobacter sphaeroides,	1377,1520,272943,	Bacteria,	2,	PWY-7664	oleate biosynthesis IV (anaerobic)	Oleate-Biosynthesis,Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY-821	PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.	Saccharomyces cerevisiae,	4932,	Fungi,	4751,	PWY-821	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	Amino Acids Biosynthesis,Biosynthesis,Pathways	Amino Acids Biosynthesis	Biosynthesis
PWY-822	PWY.822..fructan.biosynthesis	Allium cepa,Helianthus tuberosus,Hordeum vulgare,	4679,4233,4513,	Bacteria,Embryophyta,	2,3193,	PWY-822	fructan biosynthesis	Polysaccharides-Biosynthesis,Carbohydrates Biosynthesis,Biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
PWY-841	PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	Saccharomyces cerevisiae,Homo sapiens,Arabidopsis thaliana,	4932,9606,	Archaea,Bacteria,Eukaryota,	2157,2,2759,	PWY-841	superpathway of purine nucleotides de novo biosynthesis I	Purine-Nucleotide-De-Novo-Biosynthesis,PUR-NUC-SYN,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY-882	PWY.882..L.ascorbate.biosynthesis.I..L.galactose.pathway.	Actinidia,Brassica oleracea,Oryza sativa,Spinacia oleracea,Arabidopsis thaliana,	3624,3715,4530,3562,	Viridiplantae,	33090,	PWY-882	L-galactose pathway	Vitamin biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-922	PWY.922..mevalonate.pathway.I	Catharanthus roseus,Homo sapiens,Nicotiana tabacum,Saccharomyces cerevisiae,Arabidopsis thaliana,	4058,9606,4097,4932,	Archaea,Metazoa,Fungi,Bacteria,Viridiplantae,	2157,33208,4751,2,33090,	PWY-922	mevalonate pathway I	Isopentenyl-Diphosphate-Biosynthesis,Hemiterpenes Biosynthesis,Terpenoids Biosynthesis,Secondary Metabolites Biosynthesis,Biosynthesis	Secondary Metabolites Biosynthesis	Biosynthesis
PWY0-1061	PWY0.1061..superpathway.of.L.alanine.biosynthesis	Escherichia coli,	511145,	Bacteria,	2,	PWY0-1061	superpathway of L alanine biosynthesis	ALANINE-SYN,IND-AMINO-ACID-SYN,Amino Acids Biosynthesis,Biosynthesis	Amino Acids Biosynthesis	Biosynthesis
PWY0-1241	PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis	Pseudomonas aeruginosa,Helicobacter pylori,Haemophilus influenzae,Campylobacter jejuni,Escherichia coli,	208964,85962,71421,192222,511145,	Proteobacteria,	1224,	PWY0-1241	ADP L glycero andbeta D manno heptose biosynthesis	ADP-Sugar-Biosynthesis,Sugar Nucleotides Biosynthesis,Sugars Biosynthesis,Carbohydrates Biosynthesis,Biosynthesis	Carbohydrates Biosynthesis	Biosynthesis
PWY0-1261	PWY0.1261..anhydromuropeptides.recycling	Escherichia coli,	511145,	Bacteria,	2,	PWY0-1261	anhydromuropeptides recycling	Sugar Derivatives Degradation,SECONDARY-METABOLITE-DEGRADATION,Degradation/Utilization/Assimilation	Sugar Derivatives Degradation	Degradation
PWY0-1277	PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation	Escherichia coli,	511145,	Proteobacteria,	1224,	PWY0-1277	3 phenylpropanoate and 3 3 hydroxyphenylpropanoate degradation	Aromatic Compounds Degradation,Degradation,Pathways	Aromatic Compounds Degradation	Degradation
PWY0-1296	PWY0.1296..purine.ribonucleosides.degradation	Escherichia coli,Homo sapiens,Mycoplasma pneumoniae,	511145,9606,272634,	Archaea,Opisthokonta,Bacteria,	2157,33154,2,	PWY0-1296	purine ribonucleosides degradation	Purine-Degradation,Nucleosides and Nucleotides Degradation,Degradation/Utilization/Assimilation	Nucleosides and Nucleotides Degradation	Degradation
PWY0-1297	PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation	Escherichia coli,	511145,	Bacteria,	2,	PWY0-1297	superpathway of purine deoxyribonucleosides degradation	Nucleosides and Nucleotides Degradation,Degradation,Pathways	Nucleosides and Nucleotides Degradation	Degradation
PWY0-1298	PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation	Escherichia coli,	511145,	Bacteria,	2,	PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	Pyrimidine-Degradation,Nucleosides and Nucleotides Degradation,Degradation/Utilization/Assimilation	Nucleosides and Nucleotides Degradation	Degradation
PWY0-1319	PWY0.1319..CDP.diacylglycerol.biosynthesis.II	Escherichia coli,Arabidopsis thaliana,	511145,	Viridiplantae,Proteobacteria,	33090,1224,	PWY0-1319	CDP diacylglycerol biosynthesis II	CDP-diacylglycerol-Biosynthesis,Phospholipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY0-1338	PWY0.1338..polymyxin.resistance	Escherichia coli,	511145,	Proteobacteria,	1224,	PWY0-1338	polymyxin resistance	Antibiotic-Resistance,Detoxification,Pathways	Detoxification	Detoxification
PWY0-1415	PWY0.1415..superpathway.of.heme.biosynthesis.from.uroporphyrinogen.III	Escherichia coli,	511145,	Bacteria,	2,	PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen III	HEME-SYN,Porphyrin Compounds Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Porphyrin Compounds Biosynthesis	Biosynthesis
PWY0-1479	PWY0.1479..tRNA.processing	Escherichia coli,	511145,	Bacteria,	2,	PWY0-1479	tRNA processing	Nucleic-Acid-Processing,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY0-1533	PWY0.1533..methylphosphonate.degradation.I	Escherichia coli,	511145,	Bacteria,	2,	PWY0-1533	methylphosphonate degradation I	Methylphosphonate-Degradation,Phosphorus-Compounds,Inorganic Nutrients Metabolism,Degradation/Utilization/Assimilation	Inorganic Nutrients Metabolism	Degradation
PWY0-1586	PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.	Escherichia coli,	511145,	Bacteria,	2,	PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	Peptidoglycan-Biosynthesis,Cell-Wall-Biosynthesis,Cell Structures Biosynthesis,Biosynthesis	Cell Structures Biosynthesis	Biosynthesis
PWY0-162	PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis	Escherichia coli,Homo sapiens,Arabidopsis thaliana,	511145,9606,	Eukaryota,Bacteria,	2759,2,	PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	Pyrimid-Ribonucleot-De-Novo-Biosyn,Pyrimidine-De-Novo-Biosyn,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY0-166	PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.	Escherichia coli,Mycobacterium tuberculosis,Mycobacterium tuberculosis,Salmonella enterica,	511145,1773,83332,90371,	Archaea,Bacteria,	2157,2,	PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn,Deoxyribonucleotide-Biosynthesis,Pyrimidine-De-Novo-Biosyn,Nucleosides and Nucleotides Biosynthesis,Biosynthesis	Nucleosides and Nucleotides Biosynthesis	Biosynthesis
PWY0-321	PWY0.321..phenylacetate.degradation.I..aerobic.	Pseudomonas sp. Y2,Escherichia coli,Escherichia coli,Azoarcus evansii,Pseudomonas putida,	198931,566546,511145,59406,	Fungi,Bacteria,	4751,2,	PWY0-321	phenylacetate degradation I (aerobic)	Phenylacetate-Degradation,Phenolic-Compounds-Degradation,Aromatic Compounds Degradation,Degradation/Utilization/Assimilation	Aromatic Compounds Degradation	Degradation
PWY0-41	PWY0.41..allantoin.degradation.IV..anaerobic.	Escherichia coli,Arthrobacter allantoicus,Streptococcus allantoicus,	511145,	Bacteria,	2,	PWY0-41	allantoin degradation IV (anaerobic)	Allantoin-degradation,AMINE-DEG,Degradation	AMINE-DEG	Degradation
PWY0-42	PWY0.42..2.methylcitrate.cycle.I	Escherichia coli,Salmonella enterica,Yarrowia lipolytica,	511145,90371,4952,	Fungi,Bacteria,	4751,2,	PWY0-42	2 methylcitrate cycle I	Methyl-Citrate-Cycle,Propionate-Degradation,Carboxylates Degradation,Degradation/Utilization/Assimilation	Carboxylates Degradation	Degradation
PWY0-781	PWY0.781..aspartate.superpathway	Escherichia coli,	511145,	Bacteria,	2,	PWY0-781	aspartate superpathway	Super-Pathways,Pathways	Amino Acids Biosynthesis	Biosynthesis
PWY0-845	PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage	Escherichia coli,	511145,	Bacteria,	2,	PWY0-845	superpathway of pyridoxal 5 phosphate biosynthesis and salvage	Vitamin-B6-Biosynthesis,Vitamin-Biosynthesis,Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis,Biosynthesis	Vitamin-Biosynthesis	Biosynthesis
PWY0-862	PWY0.862...5Z..dodec.5.enoate.biosynthesis	Enterococcus faecalis,Escherichia coli,Streptococcus pneumoniae,	1351,511145,1313,	Bacteria,	2,	PWY0-862	(5Z)-dodec-5-enoate biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
PWY0-881	PWY0.881..superpathway.of.fatty.acid.biosynthesis.I..E..coli.	Escherichia coli,	511145,			PWY0-881	superpathway of fatty acid biosynthesis I (E. coli)	Fatty-acid-biosynthesis,Lipid-Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis	Fatty Acid and Lipid Biosynthesis	Biosynthesis
